,Office,Dept,Year
0,秘書課,Admin,13
1,人事課（S12.12.18）,Admin,13
2,文書課,Admin,13
3,庶務課,企画局（S12.12.18）,13
4,企画課,企画局（S12.12.18）,13
5,財務課,企画局（S12.12.18）,13
6,統計課,企画局（S12.12.18）,13
7,都市計画課,企画局（S12.12.18）,13
8,会計課,経理局（S12.12.18）,13
9,公債課,経理局（S12.12.18）,13
10,主税課,経理局（S12.12.18）,13
11,徴収課,経理局（S12.12.18）,13
12,用度課,経理局（S12.12.18）,13
13,地理課,経理局（S12.12.18）,13
14,庶務課,産業局,13
15,商工課,産業局,13
16,貿易課（S13.5.9）,産業局,13
17,農漁課,産業局,13
18,権度課,産業局,13
19,庶務課,教育局,13
20,学務課,教育局,13
21,社会教育課,教育局,13
22,体育課,教育局,13
23,視学課,教育局,13
24,庶務課,社会局,13
25,保護課,社会局,13
26,福利課,社会局,13
27,職業課,社会局,13
28,庶務課,保健局,13
29,衛生課,保健局,13
30,公園課,保健局,13
31,庶務課,水道局,13
32,会計課,水道局,13
33,業務課,水道局,13
34,給水課,水道局,13
35,拡張課,水道局,13
36,下水課,水道局,13
37,庶務課,土木局,13
38,道路管理課,土木局,13
39,道路建設課,土木局,13
40,河川課,土木局,13
41,総務課,電気局,13
42,労働課,電気局,13
43,経理課,電気局,13
44,会計課,電気局,13
45,庶務課,監査部(S12.12.18),13
46,業務課,監査部(S12.12.18),13
47,事業普及課,監査部(S12.12.18),13
48,車輌課,監査部(S12.12.18),13
49,保線課,監査部(S12.12.18),13
50,交通統制調査課,監査部(S12.12.18),13
51,営業課,市民動員部(S12.12.18),13
52,配線課,市民動員部(S12.12.18),13
53,電力課,市民動員部(S12.12.18),13
54,監察課,清掃部(S12.12.18),13
55,区政課,清掃部(S12.12.18),13
56,国民精神総動員課,港湾部,13
57,防衛課,港湾部,13
58,軍事援護課,港湾部,13
59,監理課,中央卸売市場,13
60,作業課,中央卸売市場,13
61,庶務課,養育院,13
62,技術課,養育院,13
63,地所課,養育院,13
64,港務所,養育院,13
65,管理課,電気研究所,13
66,計画課（S12.12.18）,電気研究所,13
67,副収入役室（S13.5.23）,電気研究所,13
68,庶務課（S13.1.31）,臨時建築部（S13.5.9）,13
69,監護課,臨時建築部（S13.5.9）,13
70,医務課,臨時建築部（S13.5.9）,13
71,会計課,臨時建築部（S13.5.9）,13
72,巣鴨分院,臨時建築部（S13.5.9）,13
73,安房分院,臨時建築部（S13.5.9）,13
74,井之頭学校,臨時建築部（S13.5.9）,13
75,庶務課,小河内貯水池建設事務所,13
76,試験課,小河内貯水池建設事務所,13
77,研究課,小河内貯水池建設事務所,13
